"","resolution","num_pixels"
"1","50",18515
"2","60",13152
"3","70",9773
"4","80",7542
"5","90",5993
"6","100",4881
"7","110",4054
"8","120",3420
"9","130",2928
"10","140",2532
"11","150",2216
"12","160",1953
"13","170",1738
"14","180",1557
"15","190",1403
"16","200",1269
"17","210",1154
"18","220",1058
"19","230",971
"20","240",894
"21","250",827
"22","260",766
"23","270",715
"24","280",666
"25","290",624
"26","300",586
"27","310",550
"28","320",517
"29","330",488
"30","340",461
"31","350",436
"32","360",413
"33","370",395
"34","380",374
"35","390",357
"36","400",339
