,x,y
node1,1479.326,1376.1499
node2,1668.9835,1431.3002
node3,1870.509,1429.3622
node4,2101.572,1449.2721
node5,2425.4316,1426.338
node6,2763.3843,1268.1483
node7,2967.5554,1122.2584
node8,3157.5024,1008.8184
node9,3372.913,902.7226
node10,3575.32,802.7516
node11,3759.3347,737.8542
node12,3974.1653,723.8648
node13,4186.72,721.266
node14,4420.1133,713.7666
node15,4665.309,769.4724
node16,4965.718,747.3366
node17,5253.9175,604.393
node18,5487.8477,512.328
node19,5688.127,474.6538
node20,5914.7812,522.2227
node21,6144.503,486.5842
node22,6370.493,432.937
node23,6664.838,384.1122
node24,6968.159,434.8795
node25,7205.753,469.7079
node26,7390.5034,628.405
node27,7617.1543,743.2953
node28,1318.0033,1453.3383
node29,1542.9672,1565.383
node30,1818.6758,1594.6578
node31,2089.677,1615.9413
node32,2372.3425,1587.142
node33,2707.3909,1481.1676
node34,2985.0564,1351.7079
node35,3217.9446,1255.7654
node36,3418.786,1181.7852
node37,3599.458,1086.5691
node38,3802.6584,1024.3535
node39,4008.608,1032.3297
node40,4206.6772,1015.6437
node41,4435.8374,1026.5121
node42,4707.819,1032.9607
node43,4986.0015,1009.6646
node44,5277.4556,922.248
node45,5518.4517,821.4794
node46,5722.2847,781.197
node47,5940.883,805.4728
node48,6166.702,789.969
node49,6403.416,795.4748
node50,6671.687,823.8199
node51,6945.5537,873.8864
node52,7192.5815,880.9808
node53,7451.9023,936.9795
node54,7717.5654,961.5135
node55,1121.6084,1532.1814
node56,1400.507,1691.2734
node57,1723.0264,1756.8687
node58,2030.5646,1790.1348
node59,2322.5977,1751.437
node60,2639.874,1680.897
node61,2945.3525,1589.5204
node62,3198.1938,1513.9696
node63,3425.472,1431.5186
node64,3620.638,1381.2822
node65,3831.812,1337.6113
node66,4030.0176,1286.3867
node67,4233.8213,1295.9325
node68,4465.0645,1318.892
node69,4726.246,1306.8535
node70,5003.2334,1266.7012
node71,5264.027,1218.8871
node72,5517.557,1130.2435
node73,5742.0537,1102.945
node74,5977.5464,1093.3473
node75,6222.1714,1125.7671
node76,6478.866,1142.5068
node77,6736.075,1164.4812
node78,7002.1343,1192.5165
node79,7260.333,1201.8022
node80,7550.796,1227.4581
node81,7858.355,1167.4158
node82,923.8984,1633.1398
node83,1252.7601,1806.2532
node84,1643.134,1897.6024
node85,1958.7972,1936.5746
node86,2235.0847,1924.9562
node87,2576.6445,1883.53
node88,2911.5398,1820.0883
node89,3173.1672,1753.595
node90,3397.9192,1686.4218
node91,3617.262,1641.5734
node92,3841.2825,1602.4415
node93,4052.706,1545.2594
node94,4280.314,1565.0299
node95,4496.005,1561.1803
node96,4729.416,1547.6694
node97,4982.6357,1504.2391
node98,5253.446,1463.0184
node99,5519.745,1413.2882
node100,5772.8193,1381.8237
node101,6046.018,1386.9679
node102,6279.943,1414.734
node103,6519.9126,1443.741
node104,6781.649,1458.0381
node105,7068.1626,1490.8439
node106,7353.8657,1471.7965
node107,7682.178,1479.0978
node108,8015.4746,1401.1094
node109,757.2228,1809.9333
node110,1140.6534,1974.7698
node111,1523.3132,2068.347
node112,1867.138,2096.3396
node113,2189.6277,2101.7158
node114,2522.3525,2068.5083
node115,2853.6406,2018.2625
node116,3121.0286,1974.7664
node117,3377.8633,1930.2952
node118,3610.1572,1884.7177
node119,3812.7007,1845.8588
node120,4042.58,1822.3083
node121,4300.083,1804.0066
node122,4512.6016,1788.196
node123,4738.9395,1763.707
node124,4992.63,1750.0066
node125,5263.523,1713.6122
node126,5536.123,1690.2308
node127,5796.4204,1664.1996
node128,6073.9897,1652.4546
node129,6327.362,1656.8958
node130,6576.6533,1688.0848
node131,6856.004,1712.1948
node132,7146.2935,1728.0645
node133,7427.2817,1728.215
node134,7805.9434,1700.0627
node135,8155.1274,1612.3354
node136,652.8132,2022.6595
node137,1034.0007,2155.5994
node138,1445.5231,2223.41
node139,1788.5492,2267.4277
node140,2131.6863,2282.909
node141,2455.8003,2262.095
node142,2784.1887,2220.533
node143,3075.0645,2171.253
node144,3329.8994,2135.7385
node145,3569.5125,2082.796
node146,3810.6084,2053.7625
node147,4053.1753,2034.1986
node148,4295.942,2001.8148
node149,4528.216,1987.1191
node150,4761.36,1976.3741
node151,5010.134,1964.7178
node152,5265.679,1955.6322
node153,5527.339,1942.2365
node154,5818.3286,1931.6544
node155,6102.5557,1915.9637
node156,6384.067,1894.7412
node157,6649.4165,1909.1176
node158,6933.2817,1941.2716
node159,7233.304,1946.4486
node160,7530.38,1955.47
node161,7910.618,1916.6492
node162,8267.296,1827.0582
node163,597.7375,2257.1194
node164,977.1926,2368.778
node165,1369.7031,2425.633
node166,1729.1594,2453.035
node167,2051.0137,2478.8196
node168,2411.2769,2457.6956
node169,2724.4043,2423.0447
node170,3023.8354,2383.945
node171,3285.9915,2353.6465
node172,3529.7705,2308.5312
node173,3795.5215,2267.3696
node174,4040.1,2246.8208
node175,4272.294,2223.116
node176,4516.1553,2202.344
node177,4764.3667,2186.8044
node178,5029.684,2167.817
node179,5302.422,2163.7234
node180,5556.3003,2164.7473
node181,5817.3364,2165.07
node182,6099.8774,2162.1382
node183,6419.862,2146.543
node184,6719.395,2155.8652
node185,7002.076,2178.77
node186,7304.7495,2170.1062
node187,7618.9014,2166.306
node188,7973.2944,2145.1487
node189,8329.824,2066.5872
node190,545.1368,2494.045
node191,923.3582,2578.7935
node192,1306.108,2609.798
node193,1675.1984,2648.1423
node194,1999.1262,2663.8904
node195,2324.597,2642.9375
node196,2672.9036,2610.3557
node197,2970.9563,2585.2742
node198,3227.4382,2544.8926
node199,3476.6409,2516.4597
node200,3767.1687,2486.0674
node201,4031.6165,2460.8386
node202,4265.4775,2462.7222
node203,4510.8,2434.4343
node204,4768.2803,2410.474
node205,5029.073,2397.9585
node206,5312.2217,2372.383
node207,5589.1133,2372.043
node208,5849.7,2374.7815
node209,6141.219,2390.846
node210,6446.566,2388.519
node211,6769.9263,2381.4194
node212,7061.167,2395.2085
node213,7360.0054,2392.9219
node214,7680.9697,2383.3657
node215,8015.072,2358.0903
node216,8387.224,2308.184
node217,495.5016,2721.211
node218,870.6954,2785.1277
node219,1270.2957,2791.7715
node220,1611.1425,2849.5059
node221,1928.2092,2841.5286
node222,2291.4226,2834.7314
node223,2614.4895,2803.977
node224,2912.2437,2774.4941
node225,3192.9744,2746.3003
node226,3460.6016,2732.6448
node227,3748.8523,2713.2341
node228,4026.7815,2692.285
node229,4262.583,2677.7744
node230,4499.5913,2669.3916
node231,4756.5146,2638.1592
node232,5007.445,2608.2239
node233,5318.402,2595.8152
node234,5615.003,2586.0413
node235,5897.439,2590.138
node236,6176.268,2596.6436
node237,6454.6533,2602.3625
node238,6796.012,2592.2852
node239,7097.481,2598.7307
node240,7408.2817,2597.5447
node241,7724.8506,2591.9773
node242,8062.2466,2568.216
node243,8429.328,2528.6995
node244,430.1761,2948.9053
node245,806.2608,3000.1106
node246,1181.8468,3019.3296
node247,1592.0563,3030.0452
node248,1887.1896,3036.954
node249,2236.813,3028.3987
node250,2579.1663,2999.5513
node251,2858.1897,2972.238
node252,3149.172,2947.9314
node253,3457.4788,2925.9146
node254,3743.2625,2907.0405
node255,4009.59,2900.4016
node256,4254.6265,2869.9675
node257,4491.2817,2874.3684
node258,4723.9062,2858.4526
node259,4982.9106,2837.0696
node260,5294.9507,2821.7969
node261,5608.695,2801.4368
node262,5921.106,2805.6821
node263,6207.312,2803.9058
node264,6500.4937,2805.4841
node265,6808.0127,2804.5354
node266,7108.1846,2810.3618
node267,7421.5303,2798.77
node268,7750.158,2796.5422
node269,8077.1953,2791.1897
node270,8460.94,2765.9204
node271,381.3574,3179.2283
node272,796.6798,3213.9595
node273,1168.3986,3254.2534
node274,1543.2664,3230.5403
node275,1850.4796,3227.0586
node276,2189.537,3216.2334
node277,2520.4397,3199.1226
node278,2818.9119,3165.7263
node279,3121.8613,3146.4402
node280,3425.0227,3129.2178
node281,3735.5452,3115.2402
node282,3989.106,3099.841
node283,4233.7183,3076.4172
node284,4477.679,3065.3403
node285,4729.03,3052.1387
node286,4978.2993,3062.4602
node287,5272.9463,3047.1353
node288,5603.837,3028.6072
node289,5916.06,3023.919
node290,6214.9365,3014.3076
node291,6506.7354,3002.7266
node292,6828.192,3009.2551
node293,7129.348,3001.2021
node294,7440.229,3000.2551
node295,7754.3926,3006.895
